,Player,G League Team,NBA Team,Call Up Date,Pos,HT,WT,Age,YOS
0,"Chaundee Brown, Jr.",South Bay Lakers,Hawks,"Apr 9, 2022",SF,6-5,215,23,0
1,Mac McClung,South Bay Lakers,Lakers,"Apr 9, 2022",PG,6-2,185,23,0
2,Rayjon Tucker,Wisconsin Herd,Bucks,"Apr 8, 2022",SF,6-3,209,24,2
3,Nate Hinton,Fort Wayne Mad Ants,Pacers,"Apr 7, 2022",SF,6-5,210,22,1
4,Gabe York,Fort Wayne Mad Ants,Pacers,"Apr 7, 2022",SG,6-3,185,28,0
5,"Melvin Frazier, Jr.",Iowa Wolves,Thunder,"Apr 6, 2022",SF,6-5,215,25,2
6,Georgios Kalaitzakis,Oklahoma City Blue,Thunder,"Apr 4, 2022",SF,6-7,205,23,0
7,Zavier Simpson,Oklahoma City Blue,Thunder,"Apr 4, 2022",PG,6-0,190,25,0
8,Carsen Edwards,Salt Lake City Stars,Pistons,"Apr 3, 2022",PG,5-11,200,24,2
9,Jaylen Hoard,Oklahoma City Blue,Thunder,"Apr 1, 2022",PF,6-8,216,23,2
10,Devin Cannady,Lakeland Magic,Magic,"Mar 31, 2022",PG,6-1,190,25,1
11,Reggie Perry,Raptors 905,Trail Blazers,"Mar 30, 2022",PF,6-8,250,22,1
12,Brandon Knight,Sioux Falls Skyforce,Mavericks,"Mar 29, 2022",PG/SG,6-2,182,30,9
13,Jared Harper,Birmingham Squadron,Pelicans,"Mar 28, 2022",PG,6-0,175,24,2
14,Greg Monroe,Capital City Go-Go,Jazz,"Mar 28, 2022",C/PF,6-11,265,31,9
15,Juwan Morgan,Maine Celtics,Celtics,"Mar 28, 2022",PF,6-7,232,24,2
16,Xavier Moon,Agua Caliente Clippers,Clippers,"Mar 26, 2022",SG,6-2,165,27,0
17,Braxton Key,Delaware Blue Coats,Pistons,"Mar 24, 2022",SF,6-8,230,25,0
18,Mychal Mulder,Sioux Falls Skyforce,Heat,"Mar 24, 2022",GF,6-3,195,27,2
19,Anthony Lamb,Rio Grande Valley Vipers,Rockets,"Mar 23, 2022",PF,6-6,225,24,1
20,Jeff Dowtin,Lakeland Magic,Magic,"Mar 22, 2022",PG,6-3,185,24,0
21,Feron Hunt,Texas Legends,Knicks,"Mar 18, 2022",SF,6-8,195,22,0
22,Justin Anderson,Fort Wayne Mad Ants,Pacers,"Mar 17, 2022",SF,6-6,230,28,5
23,Kris Dunn,Agua Caliente Clippers,Trail Blazers,"Mar 14, 2022",SG,6-3,205,27,5
24,Tyrone Wallace,Long Island Nets,Pelicans,"Mar 11, 2022",SG,6-5,198,27,3
25,Jordan Schakel,Capital City Go-Go,Wizards,"Mar 9, 2022",SF,6-6,200,23,0
