"","Player","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","TS%","eFG%","Total S %","ORB%","DRB%","TRB%","AST%","TOV%","STL%","BLK%","USG%","PPR","PPS","ORtg","DRtg","eDiff","FIC","PER","HOB","Ast/TO","Stl/TO","FT/FGA","W's","L's","Win %","OWS","DWS","WS","CalledUp","Pos","WT","HT","Draft","pic"
"1","Darius Adams","FWN",27,28.2,17.7,5.9,13.9,0.422,2.4,7.5,0.327,2.4,2.6,0.914,0.8,3.4,4.1,4.3,2.3,0.1,3.4,2,0.59,0.511,166.3,2.9,12.7,7.8,24.1,18.4,3.9,0.2,28.1,-1.8,1.3,101.3,110.5,-9.2,321,16.6,0.251,1.3,0.7,0.2,16,11,0.593,-0.4,1.1,0.7,0,"PG",165,73,"Undrafted",392.85
"2","Deng Adel","MNE",16,23.5,7.7,2.9,6.3,0.47,0.3,2.1,0.147,1,1.3,0.8,0.8,3.3,4.1,2.2,0.9,0.3,1.1,1.1,0.565,0.495,141.7,3.2,14.8,8.8,13.6,13.5,1.8,1.3,14.5,1.7,1.2,104.9,115,-10,120.8,11.5,0.132,2.1,0.8,0.2,5,11,0.313,0,0.4,0.4,0,"SF",196,79,"Undrafted",140
"3","Santi Aldama","MHU",16,29.8,22.6,8.6,17.3,0.496,1.3,4.8,0.273,2.8,3.9,0.698,3.7,5.6,9.3,2.3,1.3,1.3,2.4,2.3,0.596,0.534,146.8,12.8,19.9,16.3,13.1,11.4,2.1,3.7,30.7,-3,1.3,112.7,111.9,0.8,279.4,24.9,0.256,0.9,0.5,0.2,10,6,0.625,0.6,0.6,1.3,0,"C",224,83,"Rnd 1",316.8
"4","Bryce Alford","WCB",28,22.6,8.3,2.5,6.8,0.361,2,5.4,0.371,0.8,1.1,0.742,0.2,2.3,2.4,2.7,1,0.1,1.4,1.1,0.569,0.508,147.4,0.8,10.3,5.6,16.7,16.4,2.1,0.4,16.9,1.7,1.2,102,115.6,-13.6,180.9,10.2,0.13,1.9,0.7,0.2,10,18,0.357,-0.2,0.6,0.4,0,"G",185,75,"Undrafted",205.8
"5","Jordan Allen","CLE",22,22.4,9.5,3.4,8.8,0.381,2.1,5.9,0.357,0.5,0.7,0.688,0.4,2.7,3.1,1.4,0.6,0,1.2,1.4,0.52,0.5,142.6,1.9,13,7.4,8.9,11.5,1.4,0.2,20.2,-1.2,1.1,96,117.9,-21.8,115.5,9.4,0.117,1.2,0.5,0.1,10,12,0.455,-0.5,0.3,-0.2,0,"SG",195,76,"Undrafted",136.4
"6","Derrick Alston, Jr.","SLC",15,34.9,19.6,7,15.9,0.439,1.6,6.3,0.255,2.3,3.1,0.761,1.5,5.3,6.8,2.3,0.5,0.3,1.7,1.7,0.567,0.49,145.6,4.5,16.7,10.4,9.8,8.8,0.6,0.7,23.3,-0.3,1.2,106.2,123.2,-17,187.8,13.8,0.22,1.4,0.3,0.2,3,12,0.2,0.1,0,0.1,0,"G",190,81,"Undrafted",232.5
"7","Justin Anderson","FWN",22,37.7,27.8,9,18.6,0.484,4,10.1,0.399,3.5,4,0.885,1.3,5.5,6.7,4.4,1.3,0.8,2.7,2.1,0.684,0.593,176.8,3.3,15.2,9,17.5,11.7,1.6,1.8,24.6,0.6,1.5,120,115.7,4.3,450.6,20.7,0.309,1.6,0.5,0.2,11,11,0.5,1.7,0.7,2.4,1,"F",230,78,"Rnd 1",553.3
"8","J.J. Avila","SLC",7,23.6,5.1,1.9,3.3,0.565,0.9,1.9,0.462,0.3,0.3,1,2.1,3.3,5.4,2.1,0.6,0.7,0.7,2.7,0.754,0.696,202.7,9.3,15.1,12.1,11.3,17.3,1.2,2.8,7.5,3,1.6,146.6,119.8,26.9,59.8,14,0.094,3,0.8,0.1,2,5,0.286,0.4,0.1,0.4,0,"F",250,80,"Undrafted",53.9
"9","Joel Ayayi","CAP",29,31,10.6,4.3,8.8,0.484,0.9,2.8,0.325,0.6,0.9,0.68,1.7,4.1,5.8,6.2,0.9,0.2,2.7,2,0.573,0.535,148.9,6,13.7,9.9,26.2,22.4,1.5,0.7,16.1,4.9,1.2,110.4,114.7,-4.3,351.6,13.6,0.242,2.4,0.4,0.1,19,10,0.655,0.5,0.9,1.4,0,"G",180,76,"Undrafted",384.25
"10","Brendan Bailey","WIS",27,23.8,7.6,2.7,6.7,0.407,1.6,4.6,0.344,0.3,0.4,0.8,0.3,3.2,3.5,1,0.5,0.5,0.8,2.4,0.55,0.525,155.1,1.2,14.2,7.5,5.5,10.6,1,1.8,13.8,-0.6,1.1,99.6,121.5,-21.9,137.5,8.3,0.089,1.2,0.6,0.1,4,23,0.148,-0.3,0.1,-0.1,0,"SF",195,80,"Undrafted",145.8
"11","Robert Baker, Jr.","STO",26,10.4,4,1.6,2.9,0.56,0.5,1.2,0.438,0.1,0.2,0.6,0.7,1.7,2.3,0.2,0.3,0.5,0.3,1.3,0.667,0.653,159.8,7,18.3,12.5,3.2,8.3,1.3,4.9,14.2,-1.2,1.4,127.3,112.5,14.8,97.1,16.8,0.045,0.9,1,0.1,12,14,0.462,0.5,0.3,0.8,0,"SF",205,83,"Undrafted",98.8
"12","LiAngelo Ball","GBO",28,13.2,4.6,1.7,4.3,0.395,1.1,3,0.357,0.1,0.1,0.667,0.5,0.7,1.1,0.3,0.4,0.1,0.4,0.7,0.532,0.521,141.9,4,5.4,4.7,2.8,8.4,1.6,0.7,16,-1.8,1.1,100.3,121.4,-21.1,66.4,8.6,0.05,0.6,1.1,0,9,19,0.321,-0.1,0.1,-0.1,0,"SF",230,77,"Undrafted",72.8
"13","Mitch Ballock","CLE",26,24.4,6.2,2,5.9,0.333,1.7,5.2,0.316,0.3,0.4,0.727,0.3,2.4,2.7,1.1,0.5,0.3,0.4,1.3,0.51,0.474,137.7,1.1,9.7,5.5,6.3,6,1,1,11.5,1.5,1.1,103.9,119.3,-15.3,118.9,7,0.079,2.9,1.3,0.1,4,22,0.154,0,0.3,0.2,0,"SG",205,77,"Undrafted",124.8
"14","Devonte Bandoo","GRG",16,21.8,8.1,2.8,6.4,0.441,1.9,3.9,0.476,0.5,0.6,0.889,0.4,2.9,3.3,1.9,0.5,0.1,0.6,1.3,0.613,0.588,180.6,1.8,14.3,8,13.2,8.6,1.1,0.5,14.9,2.9,1.3,118.9,116,2.9,111.4,12.9,0.126,3,0.8,0.1,5,11,0.313,0.4,0.3,0.7,0,"G",195,75,"Undrafted",128.8
"15","James Banks","TEX",32,19.1,6.6,2.8,4.5,0.614,0,0,0,0.5,1,0.531,1.8,3.8,5.6,1.3,0.5,1.3,1.2,2.3,0.66,0.614,114.5,10.2,21.2,15.8,9.3,19.3,1.4,5.7,14.5,-1.9,1.4,114.8,113.6,1.2,261,16.6,0.099,1.1,0.4,0.2,19,13,0.594,0.5,0.7,1.2,0,"C",250,82,"Undrafted",257.6
"16","Dalano Banton","RAP",7,33.6,24.1,10,19.7,0.507,1.6,4,0.393,1.7,3.1,0.545,2.9,6.1,9,5.9,1.3,0.6,2.7,1.4,0.572,0.547,144.6,7.7,18.9,12.9,28.1,11.4,1.8,1.4,28.1,3.4,1.2,115.1,103.8,11.3,139.5,23.4,0.359,2.2,0.5,0.2,7,0,1,0.4,0.5,0.9,0,"PG",203,79,"Rnd 2",167.65
"17","Cat Barber","COL",28,35.5,22.9,8.5,18,0.47,1.9,4.5,0.429,2.5,3.8,0.667,0.6,3.6,4.1,7.9,1.1,0.1,3,2.3,0.583,0.524,156.5,1.7,10.3,6.1,32.3,13.2,1.4,0.2,26.9,6.2,1.3,110.4,117.9,-7.5,452.1,17.6,0.371,2.6,0.4,0.2,18,10,0.643,0.9,0.6,1.5,1,"G",173,73,"Undrafted",553
"18","Canyon Barry","IWA",14,21.4,5.9,2.1,4.8,0.433,0.8,2.6,0.297,0.6,0.8,0.727,0.4,2.1,2.5,1.6,0.5,0.4,1.4,1.1,0.578,0.515,145.7,1.8,9.8,6,10.4,21.8,1.1,1.7,13.1,-1.5,1.2,96.1,111.8,-15.7,64.1,7.4,0.092,1.2,0.4,0.2,8,6,0.571,-0.2,0.4,0.2,0,"SG",205,78,"Undrafted",71.4
"19","Paris Bass","SBL",26,27.2,17.3,6.8,15.2,0.448,1.4,4.5,0.31,1.6,2.1,0.759,2,5,7,1.7,1.4,0.7,1.8,2.4,0.538,0.494,151.8,8,20.2,14.1,9.3,10.1,2.5,2.1,27.6,-2.4,1.1,104.8,110.5,-5.7,305.3,17.8,0.19,1,0.8,0.1,17,9,0.654,0,1,1,1,"GF",200,80,"Undrafted",354.9
"20","Charles Bassey","DEL",17,28.7,18.9,7.8,12.2,0.643,0.4,1.2,0.286,1.6,2.1,0.771,3.8,6.5,10.3,1.4,0.8,3.4,1.8,3.8,0.722,0.657,170,13,24.5,18.5,6.7,12.2,1.3,10.2,21.2,-3,1.6,128.1,109.9,18.3,331.4,27,0.196,0.7,0.5,0.2,11,6,0.647,1.3,0.7,2.1,0,"PF",230,83,"Rnd 2",351.9
"21","Jordan Bell","FWN",22,31.6,13.4,5.5,8.7,0.625,0.5,1,0.478,1.1,1.7,0.658,2.9,7.6,10.5,4.6,1.9,2.3,3.2,2.3,0.704,0.654,176.1,9.4,24.4,16.9,20.8,25.1,2.8,6.4,16.5,-0.3,1.5,117.2,104.6,12.6,424.5,21.3,0.238,1.5,0.6,0.2,14,8,0.636,0.9,1.5,2.4,1,"PF",216,80,"Rnd 2",457.6
"22","Malik Benlevi","IWA",27,16.1,6.4,2.7,5.5,0.49,0.3,1.5,0.225,0.3,0.6,0.529,2.1,1.8,3.9,0.7,0.5,0.7,0.3,2.3,0.553,0.52,124.4,13.7,11.4,12.5,6.1,5.4,1.5,4.1,16.3,0.7,1.2,119.8,112.3,7.5,159.1,16.4,0.083,2,1.4,0.1,14,13,0.519,0.6,0.5,1.1,0,"SF",225,77,"Undrafted",137.7
"23","Aaron Best","RAP",29,28.4,10.6,3.6,8.1,0.445,1.4,4.2,0.344,1.1,1.4,0.762,1.4,3.8,5.2,1.9,0.6,0.3,1,2.9,0.603,0.534,155.1,4.9,13.5,9.2,9,10.5,1.1,1,14.4,0.8,1.3,115.8,112,3.8,247,11.7,0.132,1.8,0.6,0.2,21,8,0.724,0.7,1,1.8,0,"G",184,76,"Undrafted",262.45
"24","Tyler Bey","RGV",29,22.6,11.9,3.8,7.6,0.505,0.6,2.2,0.277,2,2.6,0.784,2.7,4.8,7.4,1.5,1,0.7,1.1,2.4,0.681,0.545,156.5,12.3,21.7,17,9.1,11.2,2.2,2.3,17.6,-0.4,1.6,126.5,110.9,15.6,359,20,0.121,1.4,0.9,0.3,20,9,0.69,1.4,0.9,2.3,0,"PF",215,79,"Rnd 2",377
"25","Giorgi Bezhanishvili","GRG",31,18.7,8.7,3.7,6.2,0.591,0.1,0.7,0.182,0.6,1.2,0.556,1.4,3.4,4.8,1.4,0.4,0.5,1.4,2.6,0.644,0.601,132.8,8.1,19.2,13.7,11.7,17.4,1,2.6,19.2,-2.6,1.4,109.6,113.8,-4.2,221.3,15.4,0.126,1,0.3,0.2,16,15,0.516,0.3,0.6,0.9,0,"PF",235,81,"Undrafted",240.25
"26","Kavell Bigby-Williams","FWN",23,14.4,6.1,2.2,4,0.538,0,0.2,0.25,1.1,1.3,0.833,2.1,3.8,5.9,0.4,0.2,0.6,1.3,2,0.664,0.543,162.1,14.2,26.9,20.4,4.1,22.6,0.6,3.4,16.7,-6.9,1.5,107.5,111.2,-3.7,147.5,14.6,0.062,0.3,0.1,0.3,13,10,0.565,0.1,0.5,0.5,0,"F",250,83,"Undrafted",150.65
"27","Tarik Black","GRG",15,24.8,11.5,4.8,7.1,0.673,0,0.1,0,1.1,1.7,0.64,2.9,4.9,7.9,2.1,0.7,1.3,2.1,3.1,0.729,0.673,131.3,12.6,20.9,16.8,13.3,21.3,1.5,5.2,17.6,-3.1,1.6,118.7,108,10.8,188.4,20.3,0.174,1,0.3,0.2,7,8,0.467,0.5,0.6,1.2,0,"PF",250,81,"Undrafted",198
"28","Bennie Boatwright","FWN",2,35.9,14.5,6,15,0.4,2,8.5,0.235,0.5,0.5,1,2,9.5,11.5,1.5,1,3,2,3.5,0.476,0.467,163.5,4.8,24.8,14.4,8.3,11.6,1.3,7.4,20.3,-2.7,1,92.9,100.3,-7.4,27.9,14.3,0.234,0.8,0.5,0,0,2,0,-0.1,0.2,0.1,0,"PF",235,82,"Undrafted",29
"29","John Bohannon","MNE",30,23.2,6.4,2.8,4.3,0.643,0,0.3,0,0.5,1.2,0.444,2.1,5.7,7.8,3.7,0.8,0.8,1.9,3,0.659,0.643,108.8,9.9,24.9,17.6,21.5,28.2,1.7,3.1,12.6,2.4,1.5,118.4,109.8,8.6,328.3,15.8,0.156,1.9,0.4,0.3,16,14,0.533,0.8,1.1,1.9,0,"C",210,83,"Undrafted",328.5
"30","Marques Bolden","SLC",20,31.6,12.3,4.8,9.2,0.516,0.9,2.2,0.395,1.3,2.1,0.619,2.6,6.4,8.9,0.8,1,1.6,1.4,2.3,0.607,0.563,153.1,8.1,22.3,14.9,3.8,11.8,1.5,4.5,15.9,-2.6,1.3,112.5,112,0.5,254.5,16,0.141,0.6,0.7,0.2,5,15,0.25,0.4,0.8,1.2,0,"C",249,82,"Undrafted",274
