"","Player","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","PIC"
"1","Efe Abogidi","IGN",4,12,3,1.5,3.5,0.429,0,0,0,0,0.5,0,0.8,2.5,3.3,1,0,0,0.8,2.5,4.4
"2","Jalen Adaway","AUS",11,21.3,5.7,2.4,5.5,0.426,0.6,2.1,0.304,0.3,0.6,0.429,0.6,1.5,2.1,1,0.4,0.4,0.3,1.5,42.9
"3","James Akinjo","WES",10,29.3,15.6,6,12.7,0.472,2,5.7,0.351,1,1.1,0.909,0.4,3.7,4.1,6.5,1.1,0,2.9,2.3,151
"4","Warith Alatishe","ONT",12,23.7,7.1,3.3,5.6,0.597,0,0.1,0,0.3,0.7,0.5,3.4,4,7.4,1.1,1.2,2.2,1,3.5,108
"5","Ty-Shon Alexander","GBO",13,18.2,8.2,2.8,5.5,0.514,1.9,3.9,0.49,0.3,0.3,1,0.2,2.2,2.3,1.8,0.4,0.2,1.1,0.7,107.9
"6","Rawle Alkins","SLC",15,26,10.7,3.8,7.9,0.483,0.9,2.5,0.368,1.5,1.9,0.786,1.7,4.4,6.1,3.2,0.9,0.8,1.8,2.5,174.75
"7","Jordan Allen","CLE",9,18.2,8.1,3,7.4,0.403,1.8,5.2,0.34,0.2,0.2,1,0.7,1.6,2.2,0.6,0.3,0.1,1.9,0.8,35.1
"8","Justin Anderson","FWN",13,38.9,24.3,8.4,16.9,0.495,2.4,7,0.341,3.4,4.1,0.83,0.6,5.3,5.9,5.5,1.4,1.2,2.8,1.8,306.8
"9","Alex Antetokounmpo","WIS",17,20.3,4.8,1.6,4.3,0.384,0.8,2.5,0.302,0.5,0.8,0.615,0.6,1.5,2.1,0.7,0.5,0.3,1.3,2.1,26.35
"10","Adonis Arms","GRG",16,27.4,13.6,4.7,10.3,0.457,1.1,3.5,0.321,1.7,2.1,0.794,0.8,5.3,6.1,3.5,1.4,0.6,1.9,1.7,238.4
"11","Joel Ayayi","LAK",16,24.9,6.8,2.4,5.6,0.427,0.9,2.8,0.318,0.6,1,0.625,1.1,4.2,5.3,4.1,1.6,0.2,1.8,1.8,162.4
"12","Yudai Baba","TEX",14,36.5,14.8,5.7,10.3,0.556,1.3,3.3,0.391,1.2,1.8,0.68,1.1,4.6,5.6,2.6,1.7,0.2,1.7,1.9,217.7
"13","Robert Baker, Jr.","LAK",17,27,12.5,5,10,0.5,1.1,3.9,0.288,0.8,1.4,0.542,2.3,5,7.3,1.7,1.3,2.1,1.6,2.6,219.3
"14","Patrick Baldwin, Jr.","SCW",5,25.7,14,4.8,12.4,0.387,2.4,7.4,0.324,1,1.2,0.833,0.8,4.6,5.4,1.4,0.2,1,2.2,1.8,46.5
"15","Kamar Baldwin","MNE",17,33,15.8,6.3,12.3,0.512,2.1,4.7,0.45,0.6,0.8,0.786,1.1,3.5,4.6,5.1,1.9,0.4,1.8,2,289.85
"16","LiAngelo Ball","GBO",3,11.7,2.3,1,4,0.25,0.3,3,0.111,0,0.3,0,0,1,1,0,0.3,0,0.3,1,-3
"17","Dalano Banton","RAP",8,33.5,22.3,8,18,0.444,2,6.6,0.302,2.6,3.1,0.84,1.4,6.1,7.5,4.5,1.4,1.3,3.5,2.6,152.4
