,Player,G League Team,NBA Team,Call Up Date,Pos,HT,WT,Age,YOS
0,Henry Ellenson,Raptors 905,Raptors,"Mar 10, 2021",PF,6-10,240,24,4
1,Anthony Lamb,Rio Grande Valley Vipers,Rockets,"Mar 8, 2021",PF,6-6,225,23,0
2,Donta Hall,NBA G League Ignite,Raptors,"Feb 26, 2021",PF,6-9,229,23,1
3,Norvel Pelle,Cleveland Charge,Kings,"Feb 25, 2021",PF,6-10,216,28,1
4,Tyler Cook,Iowa Wolves,Nets,"Feb 24, 2021",PF,6-8,255,23,1
5,Brodric Thomas,Rio Grande Valley Vipers,Cavaliers,"Feb 24, 2021",SG,6-5,185,24,0
6,Justin Patton,Westchester Knicks,Rockets,"Feb 19, 2021",C,7-0,241,23,3
7,Chasson Randle,Oklahoma City Blue,Magic,"Feb 15, 2021",PG,6-3,185,28,3
8,Raymond Spalding,Rio Grande Valley Vipers,Rockets,"Feb 12, 2021",PF,6-10,215,23,2
9,Frank Mason,Delaware Blue Coats,Magic,"Feb 3, 2021",PG,5-11,190,26,3
10,Norvel Pelle,Cleveland Charge,Nets,"Jan 28, 2021",PF,6-10,216,27,1
11,Jordan Bell,Erie BayHawks (2019),Wizards,"Jan 23, 2021",PF,6-8,216,26,3
12,Rayjon Tucker,Agua Caliente Clippers,Sixers,"Jan 22, 2021",SF,6-3,209,23,1
13,Yogi Ferrell,Salt Lake City Stars,Cavaliers,"Jan 11, 2021",PG,6-0,180,27,4
